lat,lon,rate
-27.523897008220064,-51.36584072626594,1500.0
-27.522314606712477,-51.371772187146746,1500.0
-27.52384244265084,-51.36611146456979,1500.0
-27.523820616423148,-51.365803816662336,1500.0
-27.522281867370943,-51.371833721891086,1500.0
-27.52376605085392,-51.3664683440774,1500.0
-27.52378787708161,-51.36627144943323,1500.0
-27.522249128029404,-51.37189525657435,1500.0
-27.523678745943158,-51.36654219505317,1500.0
-27.522205475574026,-51.37195679628362,1500.0
-27.523231308275495,-51.36568079060645,1500.0
-27.52219456246018,-51.372018330801964,1500.0
-27.523569614804707,-51.36670218718378,1500.0
-27.523515049235478,-51.36672680665099,1500.0
-27.522150910004797,-51.372079870297384,1500.0
-27.52210725754942,-51.37214140967063,1500.0
-27.522096344435575,-51.372202943944615,1500.0
-27.522063605094036,-51.37226447816973,1500.0
-27.52205269198019,-51.37232601232156,1500.0
-27.523187655820113,-51.36709602819718,1500.0
-27.52201995263865,-51.37238754642451,1500.0
-27.521987213297116,-51.37244908046638,1500.0
-27.52302395911243,-51.36728063814557,1500.0
-27.521921734614047,-51.372510619271495,1500.0
-27.521867169044818,-51.37257215317287,1500.0
-27.522914827973977,-51.368043613462376,1500.0
-27.522914827973977,-51.36740371113906,1500.0
-27.522369172281707,-51.36362583353072,1500.0
-27.522521955875543,-51.36273980870717,1500.0
-27.522827523063217,-51.36250599786992,1500.0
-27.522893001746287,-51.362272187167,1500.0
-27.5217907772479,-51.37263368702537,1500.0
-27.522576521444773,-51.36897886211817,1500.0
-27.522860262404755,-51.367895950784394,1500.0
-27.521386992035616,-51.37269522099996,1500.0
-27.52280569683552,-51.36229681856641,1500.0
-27.521125077303328,-51.37275675951791,1500.0
-27.521092337961797,-51.3728182931322,1500.0
-27.52255469521708,-51.362579881387354,1500.0
-27.522642000127842,-51.36245682346528,1500.0
-27.52105959862026,-51.37287982668541,1500.0
-27.52258743455862,-51.36248144483127,1500.0
-27.52253286898939,-51.36826516664983,3029.389554
-27.52253286898939,-51.36817902627047,3057.196637
-27.52253286898939,-51.36808058009647,3029.389554
